form,tags
Alépins,['plural']
Ambazoni,
Ambazonie,['feminine']
Ambazonis,['plural']
Amhara,
Amharas,['plural']
Amiénois,['plural']
Amiénoise,['feminine']
Amiénoises,['plural']
Américain,
Américaine,['feminine']
Américaines,['plural']
Américains,['plural']
Amérindien,
Amérindienne,['feminine']
Amérindiennes,['plural']
Amérindiens,['plural']
Ancônitain,
Ancônitaine,['feminine']
Ancônitaines,['plural']
Ancônitains,['plural']
Andalou,['masculine']
Andalous,['plural']
Andalouse,['feminine']
Andalouses,['plural']
Andorran,['masculine']
Andorrane,['feminine']
Andorranes,['plural']
Andorrans,['plural']
Andretti,
Andrettis,['plural']
Angelin,
Angeline,['feminine']
Angelines,['plural']
Angelins,['plural']
Angevin,
Angevine,['feminine']
Angevins,['plural']
Anglais,['plural']
Anglaise,['feminine']
Anglaises,['plural']
Angliche,
Angliches,['plural']
Anglois,['plural']
Angloise,['feminine']
Angloises,['plural']
Angolais,['plural']
Angolaise,['feminine']
Angolaises,['plural']
Anguillan,
Anguillanne,['feminine']
Anguillannes,['plural']
Anguillans,['plural']
Annamite,
Annamites,['plural']
Annécien,
Annécienne,['feminine']
Annéciennes,['plural']
Annéciens,['plural']
Antarès,
Antibois,['plural']
Antiboise,['feminine']
Antiboises,['plural']
Antillais,['plural']
Antillaise,['feminine']
Antillaises,['plural']
Antiochien,
Antiochienne,['feminine']
Antiochiens,['plural']
Anversois,['plural']
Anversoise,['feminine']
Anversoises,['plural']
Aostois,['plural']
Aostoise,['feminine']
Aostoises,['plural']
Apamène,
Apamènes,['plural']
Apaméen,
Apaméenne,['feminine']
Apaméens,['plural']
Arabe,
Arabes,['plural']
Aragonais,['plural']
Aragonaise,['feminine']
Aragonaises,['plural']
Araméen,
Araméenne,['feminine']
Araméennes,['plural']
Araméens,['plural']
Arcadien,
Arcadienne,['feminine']
Arcadiennes,['plural']
Arcadiens,['plural']
Ardéchois,['plural']
Ardéchoise,['feminine']
Ardéchoises,['plural']
Argentin,
Argentine,['feminine']
Argentines,['plural']
Argentins,['plural']
Arménien,
Arménienne,['feminine']
Arméniennes,['plural']
Arméniens,['plural']
Art déco,
Art décos,['plural']
Artésien,
Artésienne,['feminine']
Artésiennes,['plural']
Artésiens,['plural']
Asiatique,
Asiatiques,['plural']
Asperger,
Assemblée nationale,
Assemblées nationales,['plural']
Asturien,['masculine']
Asturienne,['feminine']
Asturiennes,['plural']
Asturiens,['plural']
Athénien,
Athénienne,['feminine']
Athéniennes,['plural']
Athéniens,['plural']
Aucunois,['plural']
Aucunoise,['feminine']
Aucunoises,['plural']
Australien,
Australienne,['feminine']
Australiennes,['plural']
Australiens,['plural']
Autrichien,
Autrichienne,['feminine']
Autrichiennes,['plural']
Autrichiens,['plural']
Auvergnat,
Auvergnate,['feminine']
Auvergnates,['plural']
Auvergnats,['plural']
Av.,
Avent,
Aveyronnais,['plural']
Aveyronnaise,['feminine']
Aveyronnaises,['plural']
Avignonnais,['plural']
Avignonnaise,['feminine']
Avignonnaises,['plural']
Axonais,['plural']
Axonaise,['feminine']
Axonaises,['plural']
Aymara,
Aymaras,['plural']
Azerbaïdjanais,['plural']
Azerbaïdjanaise,['feminine']
Azerbaïdjanaises,['plural']
Aztèque,
Aztèques,['plural']
Azéri,
Azérie,['feminine']
Azéries,['plural']
Azéris,['plural']
Açorien,
Açorienne,['feminine']
Açoriennes,['plural']
Açoriens,['plural']
Açoréen,['masculine']
Açoréenne,['feminine']
Açoréennes,['plural']
Açoréens,['plural']
Aéronien,
Aïd,
Aïds,['plural']
BATRAL,['plural']
BD,['plural']
BDK,
BDQ,
BFC,
BFCs,['plural']
BFF,['plural']
BFILE,
BFILEs,['plural']
BIG,
BIGs,['plural']
BIP,['plural']
BLOB,
BLOBs,['plural']
BM,['plural']
BMW,['plural']
BO,['plural']
BP,
BPA,['plural']
BPS,
BPs,['plural']
BTP,
Babylonien,
Babylonienne,['feminine']
Babyloniennes,['plural']
Babyloniens,['plural']
Bachkir,
Bachkire,['feminine']
Bachkirs,['plural']
Badois,['plural']
Badoise,['feminine']
Badoises,['plural']
Bahamien,
Bahamienne,['feminine']
Bahamiennes,['plural']
Bahamiens,['plural']
Bahaméen,
Bahaméenne,['feminine']
Bahaméennes,['plural']
Bahaméens,['plural']
Bahreïni,
Bahreïnie,['feminine']
Bahreïnien,
Bahreïnienne,['feminine']
Bahreïniennes,['plural']
Bahreïniens,['plural']
Bahreïnies,['plural']
Bahreïnis,['plural']
Bakinois,['plural']
Bakinoise,['feminine']
Bakinoises,['plural']
Bakélite,
Balinais,['plural']
Balinaise,['feminine']
Balinaises,['plural']
Baléare,
Baléares,['plural']
Bangkokien,
Bangkokienne,['feminine']
Bangkokiennes,['plural']
Bangkokiens,['plural']
Bantou,
Bantous,['plural']
Bar.,['plural']
Barbadien,['masculine']
Barbadienne,['feminine']
Barbadiennes,['plural']
Barbadiens,['plural']
Barbudien,
Barbudienne,['feminine']
Barbudiennes,['plural']
Barbudiens,['plural']
Bartonien,
Basque,
Basques,['plural']
Basse-Terrien,
Basse-Terrienne,['feminine']
Basse-Terriennes,['plural']
Basse-Terriens,['plural']
Batave,
Bataves,['plural']
Bavarois,['plural']
Bavaroise,['feminine']
Bavaroises,['plural']
Beaujolais,['plural']
Beaujolaise,['feminine']
Beaujolaises,['plural']
Belge,
Belges,['plural']
Berbère,
Berbères,['plural']
Bercy,['plural']
Berlinois,['plural']
Berlinoise,['feminine']
Berlinoises,['plural']
Berlugan,
Berlugane,['feminine']
Berlugans,['plural']
Bermudien,['masculine']
Bermudienne,['feminine']
Bermudiennes,['plural']
Bermudiens,['plural']
Besantin,
Besantine,['feminine']
Besantines,['plural']
Besantins,['plural']
Beyrouthin,
Beyrouthine,['feminine']
Beyrouthines,['plural']
Beyrouthins,['plural']
Bhoutanais,['plural']
Bhoutanaise,['feminine']
Bhoutanaises,['plural']
Biarrot,
Biarrote,['feminine']
Biarrotes,['plural']
Biarrots,['plural']
Big Mac,
Big Macs,['plural']
Birman,
Birmane,['feminine']
Birmanes,['plural']
Birmans,['plural']
Bisontin,
Bisontine,['feminine']
Bisontines,['plural']
Bisontins,['plural']
Biterrois,['plural']
Biturige,
Bituriges,['plural']
Biélorusse,
Biélorusses,['plural']
Black,
Black Friday,
Blacks,['plural']
Blanc,
Blanc de Hotot,
Blanc-Russien,
Blanche,['feminine']
Blanche-Russienne,['feminine']
Blanches,['plural']
Blancs,['plural']
Blancs de Hotot,['plural']
Blancs-Russiens,['plural']
Bn.,['plural']
Boche,
Boches,['plural']
Bolivien,
Bolivienne,['feminine']
Boliviennes,['plural']
Boliviens,['plural']
Bolonais,['plural']
Bolonaise,['feminine']
Bolonaises,['plural']
Bon Samaritain,
Bons Samaritains,['plural']
Bordelais,['plural']
Bordelaise,['feminine']
Bordelaises,['plural']
Bosniaque,
Bosniaques,['plural']
Bosnien,
Bosnienne,['feminine']
Bosniennes,['plural']
Bosniens,['plural']
Bostonien,
Bostonienne,['feminine']
Bostoniennes,['plural']
Bostoniens,['plural']
Botswanais,['plural']
Botswanaise,['feminine']
Botswanaises,['plural']
Boulonnais,['plural']
Boulonnaise,['feminine']
Boulonnaises,['plural']
Bourguignon,
Bourguignonne,['feminine']
Bourguignonnes,['plural']
Bourguignons,['plural']
Bouroundais,['plural']
Bouroundaise,['feminine']
Bouroundaises,['plural']
Brestois,['plural']
Brestoise,['feminine']
Brestoises,['plural']
Breton,
Bretonne,['feminine']
Bretonnes,['plural']
Bretons,['plural']
Bristolien,
Bristolienne,['feminine']
Bristoliennes,['plural']
Bristoliens,['plural']
Britannique,
Britanniques,['plural']
Britanno-Colombien,['masculine']
Britanno-Colombienne,['feminine']
Britanno-Colombiennes,['plural']
Britanno-Colombiens,['plural']
Brugeois,['plural']
Brugeoise,['feminine']
Brugeoises,['plural']
Bruxellois,['plural']
Bruxelloise,['feminine']
Bruxelloises,['plural']
Brésilien,
Brésilienne,['feminine']
Brésiliennes,['plural']
Brésiliens,['plural']
Bulgare,
Bulgares,['plural']
Burgonde,
Burgondes,['plural']
Burundais,['plural']
Burundaise,['feminine']
Burundaises,['plural']
Bâlois,['plural']
Bâloise,['feminine']
Bâloises,['plural']
Béarnais,['plural']
Bédouin,
Bédouine,['feminine']
Bédouins,['plural']
Bélier,
Béliers,['plural']
Bélizien,
Bélizienne,['feminine']
Béliziennes,['plural']
Béliziens,['plural']
Béninois,['plural']
Béninoise,['feminine']
Béninoises,['plural']
Bérabich,
Bérabiches,['plural']
Bérytien,
Bérytienne,['feminine']
Bérytiennes,['plural']
Bérytiens,['plural']
C.,['plural']
C.Bon.,['plural']
C.Bssn.,['plural']
CA,
CAm,
CAs,['plural']
CB,['plural']
CCE,
CCEs,['plural']
CD,['plural']
CDD,['plural']
CDI,['plural']
CE,['plural']
CEDEX,['plural']
CEP,['plural']
CES,['plural']
CF,
CFs,['plural']
CH,
CHSLD,['plural']
CHU,['plural']
CHs,['plural']
CIF,['plural']
CLM,
CLOM,['plural']
CLSC,['plural']
CNTP,
COV,['plural']
CPA,
CPAs,['plural']
CPE,['plural']
CPF,['plural']
CPM,
CQ,
CRS,['plural']
CS,
CSP,['plural']
CSSS,
CSSSs,['plural']
CSs,['plural']
CV,
CVT,
Cachemiri,
Cachemirie,['feminine']
Cachemiries,['plural']
Cachemiris,['plural']
Cadien,
Cadienne,['feminine']
Cadiennes,['plural']
Cadiens,['plural']
Cadjin,
Cadjinne,['feminine']
Cadjinnes,['plural']
Cadjins,['plural']
Caennais,['plural']
Caennaise,['feminine']
Caennaises,['plural']
Cagliaritain,
Cagliaritaine,['feminine']
Cagliaritaines,['plural']
Cagliaritains,['plural']
Cairote,
Cairotes,['plural']
Calaisien,
Calaisienne,['feminine']
Calaisiennes,['plural']
Calaisiens,['plural']
Californien,
Californienne,['feminine']
Californiennes,['plural']
Californiens,['plural']
Camboricien,
Camboricienne,['feminine']
Camboriciennes,['plural']
Camboriciens,['plural']
Camerounais,['plural']
Camerounaise,['feminine']
Camerounaises,['plural']
Canadien,
Canadienne,['feminine']
Canadiennes,['plural']
Canadiens,['plural']
Canarien,
Canarienne,['feminine']
Canariennes,['plural']
Canariens,['plural']
Cancer,
Cancers,['plural']
Cannois,['plural']
Cannoise,['feminine']
Cannoises,['plural']
Cantonais,['plural']
Cantonaise,['feminine']
Cantonaises,['plural']
Cantonnier,
Cantonniers,['plural']
Cantonnière,['feminine']
Cantonnières,['plural']
Cappadocien,
Cappadocienne,['feminine']
Cappadociennes,['plural']
Cappadociens,['plural']
Capricorne,
Capricornes,['plural']
Capverdien,['masculine']
Capverdienne,['feminine']
Capverdiennes,['plural']
Capverdiens,['plural']
Carcassonnais,['plural']
Carcassonnaise,['feminine']
Carthaginois,['plural']
Carthaginoise,['feminine']
Carthaginoises,['plural']
Catalan,
Catalane,['feminine']
Catalanes,['plural']
Catalans,['plural']
Catanais,['plural']
Catanaise,['feminine']
Catanaises,['plural']
Caucasien,
Caucasienne,['feminine']
Caucasiennes,['plural']
Caucasiens,['plural']
Cb.,['plural']
Celte,
Celtes,['plural']
Centrafricain,['masculine']
Centrafricaine,['feminine']
Centrafricaines,['plural']
Centrafricains,['plural']
Centre-Asiatique,
Centre-Asiatiques,['plural']
Chalonnais,['plural']
Chalonnaise,['feminine']
Chalonnaises,['plural']
Chambre des communes,
Chambres des communes,['plural']
Chambérien,
Chambérienne,['feminine']
Chambériennes,['plural']
Chambériens,['plural']
Champenois,['plural']
Champenoise,['feminine']
Champenoises,['plural']
Cheyenne,
Cheyennes,['plural']
Chiac,
Chicagolais,['plural']
Chicagolaise,['feminine']
Chilien,
Chilienne,['feminine']
Chiliennes,['plural']
Chiliens,['plural']
Chinois,['plural']
Chinoise,['feminine']
Chinoises,['plural']
Chleuh,
Chleuhe,['feminine']
Chleuhes,['plural']
Chleuhs,['plural']
Chrétien,
Chrétienne,['feminine']
Chrétiennes,['plural']
Chrétiens,['plural']
Chti,
Chtimi,
Chtimis,['plural']
Chtis,['plural']
Chypriote,
Chypriotes,['plural']
Ciotaden,
Ciotadenne,['feminine']
Ciotadens,['plural']
Cl.,['plural']
Clermontois,['plural']
Clermontoise,['feminine']
Clermontoises,['plural']
Colombard,
Colombarde,['feminine']
Colombardes,['plural']
Colombards,['plural']
Colombien,
Colombienne,['feminine']
Colombiennes,['plural']
Colombiens,['plural']
Colombo-Britannique,
Colombo-Britanniques,['plural']
Commune,
Communes,['plural']
Comorien,['masculine']
Comorienne,['feminine']
Comoriennes,['plural']
Comoriens,['plural']
Comtois,['plural']
Comtoise,['feminine']
Comtoises,['plural']
Con.Bn.,['plural']
Congolais,['plural']
Congolaise,['feminine']
Congolaises,['plural']
Constantinopolitain,['masculine']
Constantinopolitaine,['feminine']
Constantinopolitaines,['plural']
Constantinopolitains,['plural']
Cordouan,
Cordouanne,['feminine']
Cordouannes,['plural']
Cordouans,['plural']
Corfiote,
Corfiotes,['plural']
Corrézien,['masculine']
Corrézienne,['feminine']
Corréziennes,['plural']
Corréziens,['plural']
Corse,
Corses,['plural']
Coréen,
Coréenne,['feminine']
Coréennes,['plural']
Coréens,['plural']
Cosaque,
Cosaques,['plural']
Costaricain,
Costaricaine,['feminine']
Costaricaines,['plural']
Costaricains,['plural']
Costaricien,['masculine']
Costaricienne,['feminine']
Costariciennes,['plural']
Costariciens,['plural']
Coupe du Monde,
Coupes du Monde,['plural']
Cracovien,['masculine']
Cracovienne,['feminine']
Cracoviennes,['plural']
Cracoviens,['plural']
Creusois,['plural']
Creusoise,['feminine']
Creusoises,['plural']
Cri,['masculine']
Crie,['feminine']
Cries,['plural']
Cris,['plural']
Crnt.,['plural']
Cro-Magnon,
Cro-Magnons,['plural']
Croate,
Croates,['plural']
Créole,
Créoles,['plural']
Crétois,['plural']
Crétoise,['feminine']
Crétoises,['plural']
Cubain,
Cubaine,['feminine']
Cubaines,['plural']
Cubains,['plural']
Cymb.,
Cypriote,
Cypriotes,['plural']
Cène,
Céfran,
Céfrans,['plural']
Célestial,
Célestials,['plural']
D10,
D12,
D20,
D4,
D6,
D8,
DAB,
DALO,
DCA,
DDT,
DEA,['plural']
DEET,
DEETs,['plural']
DELF,
DEUG,['plural']
DEUGS,['plural']
DEUGs,['plural']
DIF,['plural']
DIU,
DOM,['plural']
DS,
DVD,['plural']
DZ,
Daghestan,
Dahoméen,['masculine']
Dahoméenne,['feminine']
Dahoméennes,['plural']
Dahoméens,['plural']
Dakarois,['plural']
Dakaroise,['feminine']
Dakaroises,['plural']
Damascène,
Damascènes,['plural']
Dame Nature,
Danois,['plural']
Danoise,['feminine']
Danoises,['plural']
Dieppois,['plural']
Dieppoise,['feminine']
Dieppoises,['plural']
Dijonnais,['plural']
Dijonnaise,['feminine']
Dijonnaises,['plural']
Djiboutien,
Djiboutienne,['feminine']
Djiboutiennes,['plural']
Djiboutiens,['plural']
Dominicain,
Dominicaine,['feminine']
Dominicaines,['plural']
Dominicains,['plural']
Dominiquais,['plural']
Dominiquaise,['feminine']
Dominiquaises,['plural']
Donaldvillois,['plural']
Donaldvilloise,['feminine']
Donaldvilloises,['plural']
Donaldvilloiss,
Dordognais,['plural']
Dordognaise,['feminine']
Dordognaises,['plural']
Dr,
Dr.,
Dunkerquois,['plural']
Dunkerquoise,['feminine']
Dunkerquoises,['plural']
Dʳ,['canonical']
Dʳˢ,['plural']
E,
EHPAD,['plural']
ENS,
EO,
EP,
EPI,['plural']
EPS,['plural']
EPs,['plural']
ESB,
Eceh,
Ecossais,['plural']
Ecossaise,['feminine']
Ecossaises,['plural']
Egyptien,
Egyptienne,['feminine']
Egyptiennes,['plural']
Egyptiens,['plural']
Ehpad,['plural']
Elvinois,['plural']
Elvinoise,['feminine']
Elvinoises,['plural']
Equatorien,
Equatorienne,['feminine']
Equatoriennes,['plural']
Equatoriens,['plural']
Eskimo,
Eskimos,['plural']
Espagnol,
Espagnole,['feminine']
Espagnoles,['plural']
Espagnols,['plural']
Esquimau,
Esquimaux,['plural']
Est-Allemand,
Est-Allemande,['feminine']
Est-Allemands,['plural']
Est-Asiatique,
Est-Asiatiques,['plural']
Estonien,
Estonienne,['feminine']
Estoniennes,['plural']
Estoniens,['plural']
Etat,
Etats,['plural']
Ethiopien,
Ethiopienne,['feminine']
Ethiopiennes,['plural']
Ethiopiens,['plural']
Eucharistie,
Eucharisties,['plural']
Eurasien,
Eurasienne,['feminine']
Eurasiennes,['plural']
Eurasiens,['plural']
Européen,
Européenne,['feminine']
Européennes,['plural']
Européens,['plural']
Ewok,
Ewoks,['plural']
Exocet,
Exocets,['plural']
Export,
FAL,
FALs,['plural']
FAQ,['plural']
FLE,
FN FAL,
FN FALs,['plural']
FN-FAL,
FN-FALs,['plural']
Falklandais,['plural']
Falklandaise,['feminine']
Falklandaises,['plural']
Fentanyl,
Fidjien,
Fidjienne,['feminine']
Fidjiennes,['plural']
Fidjiens,['plural']
Fils du Ciel,['plural']
Finistérien,['plural']
Finistérienne,['feminine']
Finistériennes,['plural']
Finlandais,['plural']
Finlandaise,['feminine']
Finlandaises,['plural']
Finnois,['plural']
Finnoise,['feminine']
Finnoises,['plural']
Fl.,['plural']
Flamand,
Flamande,['feminine']
Flamandes,['plural']
Flamands,['plural']
Flandrien,['masculine']
Flandrienne,['feminine']
Flandriennes,['plural']
Flandriens,['plural']
Florentin,
Florentine,['feminine']
Florentines,['plural']
Florentins,['plural']
Floridien,
Floridienne,['feminine']
Floridiens,['plural']
Force,
Forces,['plural']
Formule,"['canonical', 'feminine']"
Formule 1,
Franc,
Francfortois,['plural']
Francfortoise,['feminine']
Francfortoises,['plural']
Francilien,
Francilienne,['feminine']
Franciliennes,['plural']
Franciliens,['plural']
Franconien,
Franconienne,['feminine']
Franconiennes,['plural']
Franconiens,['plural']
Francs,['plural']
Franque,['feminine']
Franques,['plural']
Fransaskois,['plural']
Fransaskois,['masculine']
Fransaskoise,['feminine']
Fransaskoises,['plural']
Français,['plural']
Français de papier,['plural']
Français de souche,['plural']
Française,['feminine']
Française de papier,['feminine']
Française de souche,['feminine']
Françaises,['plural']
French touch,
Frison,
Frisonne,['feminine']
Frisonnes,['plural']
Frisons,['plural']
Fuégien,
Fuégienne,['feminine']
Fuégiens,['plural']
Féroïen,
Féroïenne,['feminine']
Féroïennes,['plural']
Féroïens,['plural']
GA,
GAB,
GES,
GESs,['plural']
GEU,
GG,['plural']
GN,
GNL,
GNLs,['plural']
GP,
GPA,['plural']
GPL,
GPs,['plural']
GSM,['plural']
Gabonais,['plural']
Gabonaise,['feminine']
Gabonaises,['plural']
Gaillacois,['plural']
Gaillacoise,['feminine']
Gaillacoises,['plural']
Galicien,
Galicienne,['feminine']
Galiciennes,['plural']
Galiciens,['plural']
Galiléen,
Galiléenne,['feminine']
Galiléennes,['plural']
Galiléens,['plural']
Gallois,['plural']
Galloise,['feminine']
Galloises,['plural']
Gambien,
Gambienne,['feminine']
Gambiennes,['plural']
Gambiens,['plural']
Gandois,['plural']
Gandoise,['feminine']
Gandoises,['plural']
Gascon,
Gasconne,['feminine']
Gasconnes,['plural']
Gascons,['plural']
Gasmule,
Gasmules,['plural']
Gatinois,['plural']
Gatinois,['masculine']
Gatinoise,['feminine']
Gatinoises,['plural']
Gaulois,['plural']
Gauloise,['feminine']
Gauloises,['plural']
Genevois,['plural']
Genevoise,['feminine']
Gergovien,['masculine']
Gergovienne,['feminine']
Gergoviennes,['plural']
Gergoviens,['plural']
Germain,
Germaine,['feminine']
Germains,['plural']
Germanopratin,['masculine']
Germanopratine,['feminine']
Germanopratines,['plural']
Germanopratins,['plural']
Ghanéen,
Ghanéenne,['feminine']
Ghanéennes,['plural']
Ghanéens,['plural']
Ghiolof,
Ghiolofs,['plural']
Gibelin,
Gibelins,['plural']
Gibraltarien,
Gibraltarienne,['feminine']
Gibraltariennes,['plural']
Gibraltariens,['plural']
Girondin,['masculine']
Girondine,['feminine']
Girondines,['plural']
Girondins,['plural']
Goudjarati,
Goudjaratis,['plural']
Goussainvillois,['plural']
Goussainvilloise,['feminine']
Goussainvilloises,['plural']
Grand Prix,
Grand-Estois,['plural']
Grand-Estoise,['feminine']
Grand-Rabbin,
Grand-Russien,
Grand-Russienne,['feminine']
Grand-Russiens,['plural']
Grande-Russienne,['feminine']
Grands Lacs,
Grands Prix,['plural']
Grands-Rabbins,['plural']
Grands-Russiens,['plural']
Grec,
Grecque,['feminine']
Grecques,['plural']
Grecs,['plural']
Grenadien,['masculine']
Grenadienne,['feminine']
Grenadiennes,['plural']
Grenadiens,['plural']
Grenelle,
Grenelles,['plural']
Grenoblois,['plural']
Grenobloise,['feminine']
Grenobloises,['plural']
Gretzky,
Gretzkys,['plural']
Groenlandais,['plural']
Groenlandaise,['feminine']
Groenlandaises,['plural']
Græc,
Græcque,['feminine']
Græcques,['plural']
Græcs,['plural']
Guadeloupéen,
Guadeloupéenne,['feminine']
Guadeloupéennes,['plural']
Guadeloupéens,['plural']
Guatémalien,['masculine']
Guatémalienne,['feminine']
Guatémaliennes,['plural']
Guatémaliens,['plural']
Guatémaltèque,
Guatémaltèques,['plural']
Guelfe,
Guelfes,['plural']
Guernesiais,['plural']
Guernesiaise,['feminine']
Guernesiaises,['plural']
Guinéen,
Guinéenne,['feminine']
Guinéennes,['plural']
Guinéens,['plural']
Guyanais,['plural']
Guyanaise,['feminine']
Guyanaises,['plural']
Guyon,
Guyonne,['feminine']
Guyonnes,['plural']
Guyons,['plural']
Gymnopédie,
Gymnopédies,['plural']
Génois,['plural']
Génoise,['feminine']
Génoises,['plural']
Géorgien,
Géorgienne,['feminine']
Géorgiennes,['plural']
Géorgiens,['plural']
HAP,['plural']
HC,
HCs,['plural']
HLM,['plural']
HNE,
HPGP,
Halloween,
Halloweens,['plural']
Hambourgeois,['plural']
Hambourgeoise,['feminine']
Hambourgeoises,['plural']
Hanovrien,
Hanovrienne,['feminine']
Hanovriennes,['plural']
Hanovriens,['plural']
Haratin,['plural']
Haratins,['plural']
Harki,
Harkis,['plural']
Havrais,['plural']
Havraise,['feminine']
Havraises,['plural']
Hawaiien,
Hawaiienne,['feminine']
Hawaiiennes,['plural']
Hawaiiens,['plural']
Hawaïen,
Hawaïenne,['feminine']
Hawaïennes,['plural']
Hawaïens,['plural']
Haïtien,
Haïtienne,['feminine']
Haïtiennes,['plural']
Haïtiens,['plural']
Haïtis,
Hb.,['plural']
Hellène,
Hellènes,['plural']
Helvète,
Helvètes,['plural']
Herbretais,['plural']
Herbretaise,['feminine']
Hermais,['plural']
Hermaise,['feminine']
Hermaises,['plural']
Hesbignon,
Hesbignonne,['feminine']
Hesbignonnes,['plural']
Hesbignons,['plural']
Hessois,['plural']
Hessoise,['feminine']
Hessoises,['plural']
Hittite,
Hittites,['plural']
Hollandais,['plural']
Hollandaise,['feminine']
Hollandaises,['plural']
Holyokais,['plural']
Homsiote,
Homsiotes,['plural']
Hondurien,
Hondurienne,['feminine']
Honduriennes,['plural']
Honduriens,['plural']
Hongkongais,['plural']
Hongkongaise,['feminine']
Hongkongaises,['plural']
Hongrois,['plural']
Hongroise,['feminine']
Hongroises,['plural']
Houthi,
Houthis,['plural']
Hpe.,['plural']
Hullois,['plural']
Hullois,['masculine']
Hulloise,['feminine']
Hulloises,['plural']
Hun,
Hunnu,
Hunnue,['feminine']
Hunnus,['plural']
Huns,['plural']
Huron,
Huronne,['feminine']
Huronnes,['plural']
Hurons,['plural']
Hébreu,
Hébreux,['plural']
IA,
ICI,
IMC,
IQA,
IQAs,['plural']
IVG,
Ibère,
Ibères,['plural']
Ibérien,
Ibérienne,['feminine']
Ibériens,['plural']
Indien,
Indienne,['feminine']
Indiennes,['plural']
Indiens,['plural']
Indochinois,['plural']
Indochinoise,['feminine']
Indochinoises,['plural']
Indonésien,
Indonésienne,['feminine']
Indonésiennes,['plural']
Indonésiens,['plural']
Ingouche,
Ingouches,['plural']
Intercités,['plural']
Intériste,
Intéristes,['plural']
Inuit,
Inuite,['feminine']
Inuites,['plural']
Inuits,['plural']
Irakien,
Irakienne,['feminine']
Irakiennes,['plural']
Irakiens,['plural']
Iranien,
Iranienne,['feminine']
Iraniennes,['plural']
Iraniens,['plural']
Iraqien,
Iraqienne,['feminine']
Iraqiennes,['plural']
Iraqiens,['plural']
Iraquien,
Iraquienne,['feminine']
Iraquiennes,['plural']
Iraquiens,['plural']
Irlandais,['plural']
Irlandaise,['feminine']
Irlandaises,['plural']
Iroquoien,
Iroquoienne,['feminine']
Iroquoiennes,['plural']
Iroquoiens,['plural']
Islandais,['plural']
Islandaise,['feminine']
Islandaises,['plural']
Ispahanais,['plural']
Ispahanaise,['feminine']
